Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
YYC Gate a16,Starbucks,70002-120504,,LS,2000 Airport Road NE,2000 Airport Road NE,,,Calgary,AB,CA,T2E 6W5,"51.1285896301, -114.008781433",51.12858963,-114.0087814,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
2311A 8th St E,Starbucks,4566-95254,306-955-7434,CO,2311A 8th St E,2311A 8th St E,,,Saskatoon,SK,CA,S7H 0V4,"52.115234375, -106.620094299",52.11523438,-106.6200943,Canada Central Standard Time,-360,GMT-06:00 America/Regina,2013-12-08 17:41:59-05:00
1981 Parkdale Ave. Unit D,Starbucks,4897-109785,(613) 342-8368,CO,1981 Parkdale Ave. Unit D,1981 Parkdale Ave. Unit D,,,Brockville,ON,CA,K6V 0B4,"44.6146202087, -75.6838378906",44.61462021,-75.68383789,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
503 Brant St,Starbucks,4709-103125,905-631-7663,CO,503 Brant St,503 Brant St,,,Burlington,ON,CA,L7R 2G5,"43.3276290894, -79.8004455566",43.32762909,-79.80044556,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
6638 Tecumseh Rd E,Starbucks,4744-103299,519-945-1785,CO,6638 Tecumseh Rd E,6638 Tecumseh Rd E,,,Windsor,ON,CA,N8T 1E6,"42.3118591309, -82.9462203979",42.31185913,-82.9462204,Eastern Standard Time,-300,GMT-05:00 America/New_York,2013-12-08 17:41:59-05:00
Safeway - Medicine Hat #2220,Starbucks,79645-113146,,LS,615 Division Avenue S,615 Division Avenue S,,,Medicine Hat,AB,CA,T1A 2J9,"50.0331954956, -110.686981201",50.0331955,-110.6869812,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Westbrook Mall,Starbucks,4403-15393,4032172485,CO,"1200 - 37 Street SW, Unit 14, Westbrook Mall",1200 - 37 Street SW,Unit 14,Westbrook Mall,Calgary,AB,CA,T3C 1S2,"51.0419502258, -114.139419556",51.04195023,-114.1394196,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Manulife Center,Starbucks,4391-17174,604-662-4773,CO,"1095 Pender Street, #102",1095 Pender Street,#102,,Vancouver,BC,CA,V6E 2M6,"49.2875671387, -123.119880676",49.28756714,-123.1198807,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
544 Academy Rd,Starbucks,4487-90503,204-489-7764,CO,"544 Academy Rd, Academy Square",544 Academy Rd,,Academy Square,Winnipeg,MB,CA,R3N 0E1,"49.8739700317, -97.1967391968",49.87397003,-97.1967392,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Central Park - Kelowna,Starbucks,4482-89003,250-763-5610,CO,"1500 Banks Road, 200",1500 Banks Road,200,,Kelowna,BC,CA,V1X 7Y1,"49.8871078491, -119.426963806",49.88710785,-119.4269638,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
200th St & 86th Ave D/T-Langley,Starbucks,4726-101459,604-455-0515,CO,8660-200th Street,8660-200th Street,,,Langley,BC,CA,V2Y 0B3,"49.1602478027, -122.667160034",49.1602478,-122.66716,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
1 Hespeler Rd,Starbucks,4886-107868,519-623-7893,CO,1 Hespeler Road,1 Hespeler Road,,,Cambridge,ON,CA,N1R 8L4,"43.3742332458, -80.3181838989",43.37423325,-80.3181839,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway-Winnipeg #717,Starbucks,74728-97401,,LS,850 Keewatin Street,850 Keewatin Street,,,Winnipeg,MB,CA,R2R 0Z5,"49.9382247925, -97.1969833374",49.93822479,-97.19698334,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Safeway - Edmonton #845,Starbucks,79612-102940,,LS,5004 98th Avenue NW,5004 98th Avenue NW,,,Edmonton,AB,CA,T6A 0A1,"53.5390510559, -113.425437927",53.53905106,-113.4254379,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Scona Market,Starbucks,4375-10283,780/430-6950,CO,"10380 78th Avenue NW, Scona Market",10380 78th Avenue NW,,Scona Market,Edmonton,AB,CA,T6E 6T2,"53.5144042969, -113.497329712",53.5144043,-113.4973297,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
7077 Bathurst St,Starbucks,4395-24448,905-764-2332,CO,"7077 Bathurst Street, Unit 6, Townsgate Plaza",7077 Bathurst Street,Unit 6,Townsgate Plaza,Vaughan,ON,CA,L4J 2J6,"43.7941093445, -79.4455947876",43.79410934,-79.44559479,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway Vernon #24,Starbucks,73862-115466,250-542-8167,LS,3417 30th Ave,3417 30th Ave,,,Vernon,BC,CA,V1T 2E3,"50.2637901306, -119.277381897",50.26379013,-119.2773819,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Kingston Rd & Bingham Ave,Starbucks,4719-101643,416-686-1309,CO,1020 Kingston Road,1020 Kingston Road,,,Toronto,ON,CA,M4E 1T4,"43.6808815002, -79.2849731445",43.6808815,-79.28497314,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Oak Street & 67th Avenue,Starbucks,4812-107309,(604) 263-5253,CO,8273 Oak St,8273 Oak St,,,Vancouver,BC,CA,V6P 4A8,"49.210899353, -123.130455017",49.21089935,-123.130455,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Longos Boxgrove,Starbucks,73966-138016,905-209-7655,LS,98 Copper Creek Dr,98 Copper Creek Dr,,,Markham,ON,CA,L6B 0P2,"43.8670082092, -79.2286834717",43.86700821,-79.22868347,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Wellington Square,Starbucks,4844-110584,(403)229-2521,CO,1330 15th Avenue SW,1330 15th Avenue SW,,,Calgary,AB,CA,T3C 0X7,"51.0397453308, -114.094459534",51.03974533,-114.0944595,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
